A Box for Any Occasion,Bristol board and paper ,"5""x8""",Un Jingjang,2024,A Box for Any Occasion_Un Jingjang_1.JPG,src/A Box for Any Occasion_Un Jingjang_1.JPG,Downloaded: A Box for Any Occasion_Un Jingjang_1.JPG,"Struggling to find the perfect gift for your friend, partner, or parents? This box is for you. Designed for any occasion—birthdays, being legal, or any moment worth celebrating—it holds more than just a surprise.
Inside, you'll find instructions for both the giver and the receiver. However, the giver is encouraged to discard their instructions—so the receiver never suspects you were struggling to find the perfect gift."
A Conversation with Katie McIntyre,Magazine,11.5 x 15in roughly,Chanya Vitayakul,2024,A Conversation with Katie McIntyre_Chanya Vitayakul_1.pdf,src/A Conversation with Katie McIntyre_Chanya Vitayakul_1.pdf,Downloaded: A Conversation with Katie McIntyre_Chanya Vitayakul_1.pdf,"A publication about creating the feminine future with RISD Alum, Katie McIntyre"
A Conversation with Studio HanLi,Print,12*18 in,Andrew Haoyuan Liu,2024,A Conversation with Studio HanLi_Andrew Haoyuan Liu_1.png,src/A Conversation with Studio HanLi_Andrew Haoyuan Liu_1.png,Downloaded: A Conversation with Studio HanLi_Andrew Haoyuan Liu_1.png,An interview with Studio HanLi.
A knot can be untied if the loop is broken / Broken loops can be tied with a knot,Print,"Collage of small print, total ~11x17",Ryan Yan,2024,A knot can be untied if the loop is broken / Broken loops can be tied with a knot_Ryan Yan_1.jpg,src/A knot can be untied if the loop is broken / Broken loops can be tied with a knot_Ryan Yan_1.jpg,Downloaded: A knot can be untied if the loop is broken / Broken loops can be tied with a knot_Ryan Yan_1.jpg,Writings from Fall 2024
Alien Apple,Print and Physical vinyl,24x36 print and 10x10 vinyl,Yeriel Jeong,2024,Alien Apple_Yeriel Jeong_1.pdf,src/Alien Apple_Yeriel Jeong_1.pdf,Downloaded: Alien Apple_Yeriel Jeong_1.pdf,"The project Alien Apple offers you a one-of-a-kind experience.
An alien apple crash-lands on Earth, planting its seeds across the city in an attempt to take over. These seeds grow into music—songs that take root and transform into strange, eerie alien apples unique to each city. Through Alien Apple, you will experience music in a whole new way, selecting your own apple to uncover the sound within. The taste of this peculiar, musty fruit will linger in your memory long after.

(Identity Design, music album cover)"
ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad,printed on 11x17 newspaper,11x17 tabloid ,Sara Hu,2024,ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad_Sara Hu_1.jpg,src/ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad_Sara Hu_1.jpg,Downloaded: ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad_Sara Hu_1.jpg,"It was a pleasure to get to talk to current New Yorker art director Nicolas Conrad. In Nicolas’s eyes, art direction is more like doing puzzles. Finding the talented artists and writers are like collecting the right puzzle pieces. It is art director’s job to ensure these pieces work together to complete a successful work. "
An Interview with Nancy Skolos,Print on Newspaper,289 x 380mm,Jeanie Yu,2024,An Interview with Nancy Skolos_Jeanie Yu_1,src/An Interview with Nancy Skolos_Jeanie Yu_1,Downloaded: An Interview with Nancy Skolos_Jeanie Yu_1,"An interview project with Nancy Skolos thoughtfully discusses her approach to designs, skillfully combining 2D and 3D elements, typography, and photography into posters. She reflects on blending traditional design techniques with modern, experimental approaches and shares insights on staying consistently inspired over decades. Nancy also discusses the role of education in her career, both as a teacher and a learner. Her thoughtful perspective highlights the evolving design and its profound connection to both personal and professional growth."
Ancestral Traces,Sculptural Book,14 * 12 inches,Ritvi Gilara,2024,Ancestral Traces_Ritvi Gilara_1.HEIC,src/Ancestral Traces_Ritvi Gilara_1.HEIC,Downloaded: Ancestral Traces_Ritvi Gilara_1.HEIC,"I incorporated Hindi text to honor past teachings while moving forward. Plaster pages feel unstable, resembling faded memories. However, the copper sheets are sturdy and will change over time. Rooted in me by the concept of Pitra, the Hindu belief in an ancestral connection, it questions the undeniable aura of those who came before us, asking how our past impacts who we are today."
Anomaly,Poster,three 24 x 36 posters,Chanya Vitayakul,2024,Anomaly_Chanya Vitayakul_1.jpg,src/Anomaly_Chanya Vitayakul_1.jpg,Downloaded: Anomaly_Chanya Vitayakul_1.jpg,Exploring the idea of anomaly and oddity through illustrations and typography
Anytime,"Printed on fabric, stitched on a wooden rod / Video projection",40 * 26 (inch),Minah Kim,2024,Anytime_Minah Kim_1.mp4,src/Anytime_Minah Kim_1.mp4,Downloaded: Anytime_Minah Kim_1.mp4,"This project is about the merry-go-round-like quality of our life and relationships, executed as a multi-media piece that begins from the poem that I wrote. As the poem repeats around the form and the horses running on loop on the fabric surface, it provides the intimate time and space for the audience to reflect on themselves. The poem on the outer circle is typeset by Amoeba Dance, a custom variable font that embodies the cycle of amoeba life."
Anytime,Fabric Poster,35x60,Yeriel Jeong,2024,Anytime_Yeriel Jeong_1.JPG,src/Anytime_Yeriel Jeong_1.JPG,Downloaded: Anytime_Yeriel Jeong_1.JPG,"Anytime is a romanticized reflection on the paradoxical and contradictory nature of time—absolute and relative, objective and subjective. It captures the side of time that flows uniquely for each person. Light filtering through the punched letters invites us to reflect on the beautiful, fleeting essence of time.
"
Asset,"Print,",40x30,Ryan Yan,2024,Asset_Ryan Yan_1.png,src/Asset_Ryan Yan_1.png,Downloaded: Asset_Ryan Yan_1.png,Bouquet as wings
Attachment,"Print, Temporary Tattoo Paper","6 x 9"" i think",Dani Guerra,2024,Attachment_Dani Guerra_1.png,src/Attachment_Dani Guerra_1.png,Downloaded: Attachment_Dani Guerra_1.png,"""Attachment"" is a book documenting the exploration of its namesake. It journeys through the different interpretations of the word, ultimately using tattoos as its canvas. The designs then become printed on temporary tattoo paper and are documented once again as they become distorted on the skin. The project aims to view tattoos as an extension of oneself as attachments. "
Attachments,"Print, Silver rings",17x80,Yeriel,2024,Attachments_Yeriel_1.jpg,src/Attachments_Yeriel_1.jpg,Downloaded: Attachments_Yeriel_1.jpg,"Under the theme of ""Attachment,"" I explored the concept of email attachments by visually reinterpreting actual email exchanges with my professor. This project transforms the seemingly endless chain of online emails into a tangible, physically elongated form, bringing digital communication into the real world."
Autos Grotesk Specimen,Print,tbd,Andrew Haoyuan Liu,2025,Autos Grotesk Specimen_Andrew Haoyuan Liu_1.jpg,src/Autos Grotesk Specimen_Andrew Haoyuan Liu_1.jpg,Downloaded: Autos Grotesk Specimen_Andrew Haoyuan Liu_1.jpg,A neogrotesque typeface.
Big Gum Sculpture,Poster,18 by 24,Jyot kaur thind,2022,Big Gum Sculpture_Jyot kaur thind_1.jpeg,src/Big Gum Sculpture_Jyot kaur thind_1.jpeg,Downloaded: Big Gum Sculpture_Jyot kaur thind_1.jpeg,"A poster for a fictional event called The Big Gum Sculpture, where everyone brings a piece of gum and adds it to a collaborative community sculpture.lol"
Bloom,2022, 2.33 feet × 6.97 feet,Aniyah Lee,2022,Bloom_Aniyah Lee_1.png,src/Bloom_Aniyah Lee_1.png,Downloaded: Bloom_Aniyah Lee_1.png,"Bloom is a concept athletics brand geared towards individuals wanting to achieve betterment in their daily lives. This clothing 
brand derives from nature’s course of growth and the progression 
of life. Using nature’s design as inspiration, Bloom wants their customers to flourish while wearing their activewear."
BLUE MUSIC,Video,1980 x 1080,Hyunjun Yoo,2024,BLUE MUSIC_Hyunjun Yoo_1.mp4,src/BLUE MUSIC_Hyunjun Yoo_1.mp4,Downloaded: BLUE MUSIC_Hyunjun Yoo_1.mp4,"It's a music video visualizing one of the music from the jazz music, count on Me, by Hiromi."
Bodily,Posters,ten 13.5 x 16 posters,Chanya Vitayakul,2022,Bodily_Chanya Vitayakul_1.jpg,src/Bodily_Chanya Vitayakul_1.jpg,Downloaded: Bodily_Chanya Vitayakul_1.jpg,Exploring the spatial relationship between type and the body. Photography by Brooke Didonato.
Bug Like An Angel,printed poster + yarn + projection,36 x 24 in,Anja Drakulović,2024,Bug Like An Angel_Anja Drakulović_1.png,src/Bug Like An Angel_Anja Drakulović_1.png,Downloaded: Bug Like An Angel_Anja Drakulović_1.png,"Lyric poster for Mitski's song ""Bug Like An Angel"". Video projected over the poster, yarn intertwining with all of it."
