Work title,Work medium,"Size of work
*Feel free to up-scale your work from its original dimensions",Full Name,Year work was made,Column 6,filename,What is your project about? Provide a brief description.
A Box for Any Occasion,Bristol board and paper ,"5""x8""",Un Jingjang,2024,src/DSCF9161 - Ammi Kira.JPG,DSCF9161 - Ammi Kira.JPG,"Struggling to find the perfect gift for your friend, partner, or parents? This box is for you. Designed for any occasion—birthdays, being legal, or any moment worth celebrating—it holds more than just a surprise.
Inside, you'll find instructions for both the giver and the receiver. However, the giver is encouraged to discard their instructions—so the receiver never suspects you were struggling to find the perfect gift."
A Conversation with Katie McIntyre,Magazine,11.5 x 15in roughly,Chanya Vitayakul,2024,src/DS4 Interview Publication - Chanya - Chanya Vitayakul.pdf,DS4 Interview Publication - Chanya - Chanya Vitayakul.pdf,"A publication about creating the feminine future with RISD Alum, Katie McIntyre"
A Conversation with Studio HanLi,Print,12*18 in,Andrew Haoyuan Liu,2024,src/LIU_ANDREW_HANLI_1 - Haoyuan Liu.png,LIU_ANDREW_HANLI_1 - Haoyuan Liu.png,An interview with Studio HanLi.
A knot can be untied if the loop is broken / Broken loops can be tied with a knot,Print,"Collage of small print, total ~11x17",Ryan Yan,2024,src/grid - Ryan Yan.jpg,grid - Ryan Yan.jpg,Writings from Fall 2024
Alien Apple,Print and Physical vinyl,24x36 print and 10x10 vinyl,Yeriel Jeong,2024,src/Alien Apple Project - Yeriel Jeong.pdf,Alien Apple Project - Yeriel Jeong.pdf,"The project Alien Apple offers you a one-of-a-kind experience.
An alien apple crash-lands on Earth, planting its seeds across the city in an attempt to take over. These seeds grow into music—songs that take root and transform into strange, eerie alien apples unique to each city. Through Alien Apple, you will experience music in a whole new way, selecting your own apple to uncover the sound within. The taste of this peculiar, musty fruit will linger in your memory long after.

(Identity Design, music album cover)"
ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad,printed on 11x17 newspaper,11x17 tabloid ,Sara Hu,2024,src/HU_SARA_A conversation with Nicolas_1 - Sara Hu.jpg,HU_SARA_A conversation with Nicolas_1 - Sara Hu.jpg,"It was a pleasure to get to talk to current New Yorker art director Nicolas Conrad. In Nicolas’s eyes, art direction is more like doing puzzles. Finding the talented artists and writers are like collecting the right puzzle pieces. It is art director’s job to ensure these pieces work together to complete a successful work. "
An Interview with Nancy Skolos,Print on Newspaper,289 x 380mm,Jeanie Yu,2024,src/Yu-Jeanie-An Interview with Nancy Skolos-02 - Jeanie Yu,Yu-Jeanie-An Interview with Nancy Skolos-02 - Jeanie Yu,"An interview project with Nancy Skolos thoughtfully discusses her approach to designs, skillfully combining 2D and 3D elements, typography, and photography into posters. She reflects on blending traditional design techniques with modern, experimental approaches and shares insights on staying consistently inspired over decades. Nancy also discusses the role of education in her career, both as a teacher and a learner. Her thoughtful perspective highlights the evolving design and its profound connection to both personal and professional growth."
Ancestral Traces,Sculptural Book,14 * 12 inches,Ritvi Gilara,2024,src/2 - Ritvi Gilara.HEIC,2 - Ritvi Gilara.HEIC,"I incorporated Hindi text to honor past teachings while moving forward. Plaster pages feel unstable, resembling faded memories. However, the copper sheets are sturdy and will change over time. Rooted in me by the concept of Pitra, the Hindu belief in an ancestral connection, it questions the undeniable aura of those who came before us, asking how our past impacts who we are today."
Anomaly,Poster,three 24 x 36 posters,Chanya Vitayakul,2024,src/Anomaly Posters [Recovered]-01 - Chanya Vitayakul.jpg,Anomaly Posters [Recovered]-01 - Chanya Vitayakul.jpg,Exploring the idea of anomaly and oddity through illustrations and typography
Anytime,"Printed on fabric, stitched on a wooden rod / Video projection",40 * 26 (inch),Minah Kim,2024,src/KIM_MINAH_Anytime_video - Minah Kim.mp4,KIM_MINAH_Anytime_video - Minah Kim.mp4,"This project is about the merry-go-round-like quality of our life and relationships, executed as a multi-media piece that begins from the poem that I wrote. As the poem repeats around the form and the horses running on loop on the fabric surface, it provides the intimate time and space for the audience to reflect on themselves. The poem on the outer circle is typeset by Amoeba Dance, a custom variable font that embodies the cycle of amoeba life."
Anytime,Fabric Poster,35x60,Yeriel Jeong,2024,src/IMG_0182 - Yeriel Jeong.JPG,IMG_0182 - Yeriel Jeong.JPG,"Anytime is a romanticized reflection on the paradoxical and contradictory nature of time—absolute and relative, objective and subjective. It captures the side of time that flows uniquely for each person. Light filtering through the punched letters invites us to reflect on the beautiful, fleeting essence of time.
"
